"full_name","e","q","i","om","w","ad","per_y","class","n_obs_used","A1","A2","A3","DT","spkid","prefix","neo","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","a","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"    1P/Halley",0.9679,0.575,162.20,59.07,112.21,35.28,75.9,HTC,8518,4.9e-10,1.6e-10,,,1000036,P,Y,5.5,13.6,8.0,5.0,0.03,11.0,14.9x8.2,0.04,,,"JPL 74",2439907.5,39907,1968-02-21.0,J2000,17.93,274.81,0.01298,2446469.70,2.77e+04,0.0745,29,0.783,-0.598,7.5e-09,9.9e-09,1.4e-07,1.5e-05,2.0e-05,2.1e-05,1.2e-07,1.9e-08,1.1e-11,1.3e-05,2.3e-05,.61052,4.0e-11,4.6e-15,,
"    2P/Encke",0.8483,0.337,11.47,334.28,187.05,4.10,3.31,ETc,585,3.1e-10,6.5e-12,,,1000025,P,Y,15.6,,4.5,,,4.8,,0.046,11.083,,"JPL K232/8",2459778.5,59778,2022-07-18.0,J2000,2.22,222.67,0.298,2460239.25,1.21e+03,0.168,65.3,0.907,3.02,2.4e-07,1.5e-07,5.5e-07,2.1e-05,5.8e-05,5.9e-05,1.0e-05,2.7e-07,3.0e-08,7.5e-05,1.2e-04,.45828,7.5e-11,6.1e-12,,
"    3D/Biela",0.7513,0.879,13.22,250.67,221.66,6.19,6.65,JFc,26,3.9e-09,-2.5e-10,,,1000504,D,Y,7.1,,10.0,,,,,,,,IAUCAT03,2390520.5,-9480,1832-12-03.0,J2000,3.535,0.95,0.1483,2390514.12,2.43e+03,0.000518,0.202,,2.53,,,,,,,,,,,,,,,,
"    4P/Faye",0.5845,1.578,8.16,194.80,205.99,6.02,7.4,JFc,3562,4.0e-09,3.2e-10,-7.1e-10,-37.7,1000026,P,,11.0,13.2,9.5,5.,0.03,3.54,,,,,"JPL K212/32",2458522.5,58522,2019-02-08.0,J2000,3.798,234.73,0.1332,2459463.19,2.7e+03,0.589,229,0.0663,2.74,1.1e-07,2.0e-07,4.5e-07,5.8e-06,6.2e-05,7.0e-05,1.5e-05,3.1e-07,1.0e-08,5.7e-05,2.1e-04,.54329,1.2e-10,6.3e-11,4.2e-11,2.17
"    5D/Brorsen",0.8098,0.590,29.38,102.97,14.95,5.61,5.46,JFc,127,1.3e-08,1.3e-09,,,1000505,D,Y,8.3,,10.0,,,,,,,,IAUCAT03,2407440.5,7440,1879-04-01.0,J2000,3.101,0.17,0.1805,2407439.53,1.99e+03,0.367,143,,2.47,,,,,,,,,,,,,,,,
"    6P/d'Arrest",0.6127,1.355,19.51,138.94,178.11,5.64,6.54,JFc,1093,1.8e-10,-8.5e-10,,,1000017,P,,15.9,,8.5,,,3.2,,,,,"JPL K212/13",2459302.5,59302,2021-03-29.0,J2000,3.497,333.96,0.1507,2459475.29,2.39e+03,0.343,133,0.208,2.71,1.4e-07,6.2e-07,7.1e-07,9.0e-06,3.0e-05,7.4e-05,1.5e-05,1.0e-06,4.0e-08,7.0e-05,6.4e-04,.63861,2.7e-10,1.2e-10,,
"    7P/Pons-Winnecke",0.6376,1.239,22.33,93.42,172.51,5.60,6.32,JFc,1679,6.4e-11,-5.2e-12,-1.0e-10,150,1000069,P,Y,16.0,,4.5,,,5.2,,,,,"JPL 30",2457137.5,57137,2015-04-25.0,J2000,3.419,13.17,0.1559,2457053.03,2.31e+03,0.226,87.8,0.273,2.68,2.9e-08,3.0e-08,1.0e-07,7.1e-06,1.4e-05,1.8e-05,2.8e-06,5.0e-08,2.1e-09,1.9e-05,3.1e-05,.66978,3.6e-13,5.0e-13,2.8e-12,5.52
"    8P/Tuttle",0.8198,1.027,54.98,270.34,207.51,10.37,13.6,JFC,1768,4.2e-10,-1.7e-11,-4.6e-11,67.5,1000099,P,Y,14.6,,4.5,,,4.5,,,,,"JPL K215/24",2454701.5,54701,2008-08-23.0,J2000,5.7,15.13,0.07242,2454492.52,4.97e+03,0.0953,37.1,0.738,1.6,4.1e-08,5.2e-07,2.7e-07,1.2e-05,3.1e-05,2.9e-05,7.8e-07,9.4e-07,9.9e-09,2.8e-05,6.8e-04,.6884,4.3e-11,1.5e-11,6.6e-11,12.8
"    9P/Tempel 1",0.5097,1.543,10.47,68.76,179.19,4.75,5.58,JFc,3264,2.0e-11,1.2e-11,,,1000093,P,,12.9,,9.,,,6.0,7.6x4.9,0.05,40.7,,"JPL K223/45",2457450.5,57450,2016-03-03.0,J2000,3.146,333.06,0.1766,2457603.07,2.04e+03,0.528,206,0.296,2.97,4.8e-08,8.0e-08,1.8e-07,4.2e-06,3.7e-05,3.8e-05,5.8e-06,1.2e-07,6.8e-09,3.4e-05,7.8e-05,.4882,2.3e-11,1.2e-12,,
"   10P/Tempel 2",0.5364,1.421,12.03,117.80,195.54,4.71,5.37,JFc,4534,2.3e-10,5.4e-12,7.4e-11,,1000094,P,,14.3,,5.,,,10.6,,0.022,8.93,,"JPL K265/11",2456422.5,56422,2013-05-10.0,J2000,3.065,191.17,0.1837,2457341.59,1.96e+03,0.409,159,0.622,2.96,3.6e-08,3.9e-08,1.2e-07,3.2e-06,2.0e-05,2.1e-05,4.5e-06,6.0e-08,3.5e-09,3.7e-05,3.8e-05,.62289,1.5e-11,5.7e-13,1.7e-11,
"   11P/Tempel-Swift-LINEAR",0.5774,1.390,14.44,238.99,167.77,5.19,5.96,JFc,1182,,,,,1000365,P,,15.2,18.6,20.,5.,0.03,,,,,,"JPL K204/13",2458789.5,58789,2019-11-02.0,J2000,3.289,295.54,0.1653,2459179.51,2.18e+03,0.403,157,0.326,2.84,9.1e-08,3.1e-07,2.3e-07,8.6e-06,2.2e-05,3.9e-05,1.9e-06,4.8e-07,2.3e-08,4.8e-05,3.1e-04,.61293,,,,
"   12P/Pons-Brooks",0.9546,0.781,74.19,255.86,198.99,33.59,71.2,HTC,8019,,,,,1000068,P,Y,5.0,11.0,15.0,10.0,,,,,,,"JPL K242/76",2460209.5,60209,2023-09-22.0,J2000,17.18,357.07,0.01384,2460421.63,2.6e+04,0.18,70.2,2.02,0.598,1.1e-08,2.3e-07,1.9e-07,4.8e-06,1.6e-05,1.1e-05,2.2e-07,4.5e-07,2.8e-10,1.5e-05,5.3e-04,.64246,,,,
"   13P/Olbers",0.9297,1.171,44.63,85.85,64.56,32.17,68.1,HTC,2344,2.4e-09,5.9e-10,,,1000066,P,Y,6.7,11.3,18.75,5.,0.03,,,,,,"JPL 58",2459017.5,59017,2020-06-17.0,J2000,16.67,338.65,0.01448,2460492.22,2.49e+04,0.468,182,0.716,1.25,3.4e-08,1.6e-07,5.7e-07,1.6e-05,1.9e-05,3.2e-05,5.3e-07,3.0e-07,2.0e-10,3.2e-05,3.5e-04,.55514,2.4e-10,1.5e-13,,
"   14P/Wolf",0.3571,2.731,27.94,202.11,159.23,5.77,8.76,JFc,381,,,,,1000110,P,,15.6,,4.5,,,4.66,,,9.02,,"JPL K265/2",2456101.5,56101,2012-06-23.0,J2000,4.248,136.38,0.1126,2454889.84,3.2e+03,1.75,679,0.0451,2.72,1.4e-07,1.4e-07,5.7e-07,1.6e-05,3.5e-05,3.2e-05,1.3e-05,1.9e-07,5.6e-09,1.6e-04,1.6e-04,.44394,,,,
"   15P/Finlay",0.7202,0.977,6.80,13.75,347.63,6.00,6.52,JFc,1655,2.2e-09,-2.3e-10,1.6e-09,,1000027,P,Y,14.9,,8.5,,,,,,,,"JPL K213/18",2457327.5,57327,2015-11-01.0,J2000,3.49,46.69,0.1511,2457018.57,2.38e+03,0.00923,3.59,0.162,2.62,8.4e-08,3.8e-08,2.9e-07,8.5e-06,1.2e-04,1.2e-04,2.9e-06,6.5e-08,2.5e-09,2.2e-05,3.9e-05,.75893,3.0e-11,3.3e-13,4.5e-11,
"   16P/Brooks 2",0.5690,1.455,4.31,159.34,220.17,5.29,6.2,JFc,256,9.2e-09,-3.7e-09,,,1000008,P,,12.2,15.6,13.5,5.,0.03,,,,,,"JPL K212/8",2457551.5,57551,2016-06-12.0,J2000,3.375,115.79,0.159,2456823.27,2.26e+03,0.46,179,0.21,2.86,5.0e-07,9.9e-07,1.6e-06,2.4e-05,2.5e-04,2.3e-04,5.4e-05,1.6e-06,7.0e-08,1.9e-04,1.0e-03,.67223,1.8e-09,1.5e-09,,
"   17P/Holmes",0.4302,2.066,19.07,326.77,24.74,5.19,6.91,JFc,2211,2.9e-09,9.8e-10,,,1000044,P,,9.4,13.8,14.75,5.,0.03,3.42,,,,,"JPL K212/34",2457680.5,57680,2016-10-19.0,J2000,3.626,133.79,0.1427,2456743.22,2.52e+03,1.07,418,0.481,2.86,1.1e-07,1.4e-07,4.5e-07,6.7e-06,4.5e-05,5.9e-05,2.2e-05,2.1e-07,8.5e-09,1.7e-04,1.5e-04,.61434,2.2e-10,9.2e-11,,
"   18D/Perrine-Mrkos",0.6426,1.272,17.76,240.88,166.05,5.85,6.72,JFc,16,,,,,1000144,D,Y,11.5,15.5,20.0,15.0,,,,,,,"JPL J682/18",2440240.5,40240,1969-01-19.0,J2000,3.56,11.51,0.1468,2440162.04,2.45e+03,0.289,113,,2.67,7.6e-07,4.1e-07,2.6e-06,1.2e-04,1.2e-04,3.7e-04,6.3e-05,6.7e-07,2.5e-08,4.3e-04,4.2e-04,1.6514,,,,
"   19P/Borrelly",0.6379,1.306,29.32,74.30,351.86,5.91,6.85,JFc,2448,3.1e-09,-5.9e-10,,,1000005,P,,9.8,13.2,14.5,5.,0.03,4.8,,0.022,,,"JPL K222/16",2459279.5,59279,2021-03-06.0,J2000,3.607,312.12,0.1439,2459612.26,2.5e+03,0.324,126,0.443,2.56,7.6e-08,3.1e-07,3.3e-07,9.6e-06,1.8e-05,3.0e-05,1.2e-05,5.0e-07,1.8e-08,4.7e-05,3.2e-04,.63092,1.0e-10,4.9e-11,,
"   20D/Westphal",0.9198,1.254,40.89,348.01,57.08,30.03,61.9,HTC,201,,,,,1000212,D,Y,8.8,,10.0,,,,,,,,"JPL 19",2420080.5,20080,1913-11-09.0,J2000,15.64,359.72,0.01593,2420098.29,2.26e+04,0.468,182,,1.36,2.2e-07,8.2e-07,3.4e-06,2.0e-04,1.3e-04,4.9e-04,8.5e-06,1.6e-06,1.3e-09,5.3e-04,1.8e-03,2.0333,,,,
"   21P/Giacobini-Zinner",0.7105,1.013,32.00,195.40,172.81,5.99,6.55,JFc,1990,3.5e-09,-1.6e-09,-1.9e-09,,1000032,P,Y,13.3,,8.,,,2.0,,,,,"JPL K253/1",2458066.5,58066,2017-11-09.0,J2000,3.5,314.06,0.1505,2458371.77,2.39e+03,0.0179,6.97,0.248,2.46,5.3e-08,1.4e-07,2.1e-07,7.2e-06,2.2e-05,2.6e-05,4.5e-06,2.3e-07,8.8e-09,2.4e-05,1.4e-04,.51331,5.4e-11,3.6e-12,3.9e-11,
"   22P/Kopff",0.5486,1.555,4.74,120.84,162.91,5.33,6.39,JFc,2677,,,,,1000054,P,,11.9,,9.75,,,3.0,,0.05,,,"JPL K222/42",2458540.5,58540,2019-02-26.0,J2000,3.444,187.95,0.1542,2459656.39,2.33e+03,0.539,210,0.0797,2.87,7.8e-08,8.4e-08,2.3e-07,5.7e-06,1.5e-04,1.5e-04,1.1e-05,1.3e-07,5.6e-09,9.3e-05,8.5e-05,.68375,,,,
"   23P/Brorsen-Metcalf",0.9720,0.479,19.33,311.59,129.61,33.66,70.5,HTC,223,2.2e-09,-5.3e-10,,,1000009,P,Y,7.8,14.0,8.0,5.0,0.03,,,,,,"JPL 13",2447800.5,47800,1989-10-01.0,J2000,17.07,0.27,0.01398,2447781.44,2.58e+04,0.194,75.4,,1.11,7.0e-07,4.2e-04,8.3e-07,5.4e-05,1.3e-04,2.1e-04,1.0e-05,8.3e-04,5.2e-07,2.8e-05,9.5e-01,1.2347,2.1e-10,6.5e-14,,
"   24P/Schaumasse",0.7048,1.206,11.73,79.67,58.00,6.97,8.26,JFc,832,1.1e-09,-1.0e-09,,,1000077,P,Y,12.0,15.6,16.,5.,0.03,2.6,,,,,"JPL K173/9",2457350.5,57350,2015-11-24.0,J2000,4.086,273.65,0.1193,2458074.26,3.02e+03,0.283,110,0.457,2.5,1.3e-06,1.7e-05,6.3e-07,1.7e-05,7.5e-05,1.5e-04,5.2e-04,2.9e-05,7.5e-07,1.6e-04,1.9e-02,.6705,8.8e-11,1.6e-10,,
"   25D/Neujmin 2",0.5668,1.338,10.64,328.72,193.70,4.84,5.43,JFc,55,,,,,1000064,D,,12.5,16.0,15.0,10.0,,,,,,,"JPL 7",2424960.5,24960,1927-03-21.0,J2000,3.089,11.58,0.1815,2424896.72,1.98e+03,0.35,136,,2.93,4.9e-07,1.5e-07,1.5e-06,8.6e-05,2.5e-04,8.2e-04,1.8e-04,2.4e-07,1.4e-08,9.7e-04,1.5e-04,1.2726,,,,
"   26P/Grigg-Skjellerup",0.6397,1.090,22.46,211.63,1.90,4.96,5.26,JFc,511,,-4.6e-12,,,1000034,P,Y,16.5,,5.5,,,2.6,,,,,"JPL K234/25",2456017.5,56017,2012-03-31.0,J2000,3.024,273.42,0.1874,2456479.50,1.92e+03,0.0848,33,0.00578,2.8,6.0e-08,5.1e-08,1.9e-07,1.0e-05,3.0e-05,3.3e-05,6.5e-06,8.4e-08,4.8e-09,4.5e-05,4.9e-05,.65507,,3.7e-13,,
"   27P/Crommelin",0.9193,0.734,29.22,250.96,195.96,17.45,27.4,HTC,455,5.1e-10,-2.7e-12,,,1000016,P,Y,12.7,16.3,27.75,5.,0.03,,,,,,"JPL 6",2452489.5,52489,2002-08-03.0,J2000,9.093,241.87,0.03594,2455776.07,1e+04,0.229,89,1.01,1.48,1.0e-07,5.3e-08,9.3e-07,5.3e-05,1.3e-04,1.2e-04,1.8e-06,1.0e-07,3.2e-10,7.0e-05,8.8e-05,.83198,2.7e-10,9.5e-14,,
"   28P/Neujmin 1",0.7736,1.581,14.31,346.34,347.47,12.38,18.4,JFc,1208,,,,,1000063,P,,13.2,,4.5,,,21.4,,0.025,,,"JPL 82",2460047.5,60047,2023-04-13.0,J2000,6.982,40.72,0.05343,2459285.26,6.74e+03,0.574,223,0.96,2.17,2.2e-08,3.1e-08,1.5e-07,2.4e-06,3.7e-05,3.4e-05,4.2e-06,5.4e-08,3.5e-10,7.8e-05,4.4e-05,.31908,,,,
"   29P/Schwassmann-Wachmann 1",0.0448,5.777,9.36,312.39,50.91,6.32,14.9,JFc,624,,,,,1000079,P,,10.1,,4.5,,,60.4,,0.033,,,"JPL K192/80",2459945.5,59945,2023-01-01.0,J2000,6.047,89.62,0.06628,2458593.29,5.43e+03,4.78,1.86e+03,0.792,2.99,2.8e-08,1.3e-07,8.9e-08,1.9e-06,1.1e-05,3.3e-05,2.9e-05,1.3e-07,2.1e-09,4.5e-04,1.7e-04,.5309,,,,
"   30P/Reinmuth 1",0.5023,1.877,8.13,119.73,13.19,5.67,7.33,JFc,2276,,,,,1000070,P,,13.7,,6.5,,,7.8,,,,,"JPL K243/26",2457063.5,57063,2015-02-10.0,J2000,3.772,236.12,0.1345,2457984.34,2.68e+03,0.893,348,0.159,2.84,4.7e-08,3.6e-08,1.9e-07,8.5e-06,6.4e-05,6.7e-05,1.1e-05,5.4e-08,1.9e-09,9.2e-05,3.8e-05,.66297,,,,
"   31P/Schwassmann-Wachmann 2",0.1930,3.424,4.55,114.19,17.93,5.06,8.74,JFc,1019,,-5.3e-08,,,1000080,P,,7.2,14.0,17.5,5.,0.03,6.2,,,,,"JPL K193/22",2455554.5,55554,2010-12-24.0,J2000,4.243,9.65,0.1128,2455468.96,3.19e+03,2.44,949,0.0552,2.99,9.0e-08,5.6e-08,3.8e-07,1.0e-05,1.1e-04,1.3e-04,4.8e-05,6.6e-08,2.2e-09,4.3e-04,6.3e-05,.75507,,1.5e-09,,
"   32P/Comas Sola",0.5564,1.996,9.95,57.70,53.28,7.00,9.55,JFc,3158,-2.0e-08,7.4e-10,2.9e-10,1.41e+03,1000015,P,,10.4,13.5,11.75,5.,0.03,8.4,,,,,"JPL K242/32",2458756.5,58756,2019-09-30.0,J2000,4.5,186.89,0.1033,2460433.00,3.49e+03,1.03,401,0.247,2.68,5.9e-07,7.2e-06,1.8e-06,1.5e-05,3.7e-05,1.0e-04,4.3e-04,1.1e-05,2.5e-07,2.3e-04,8.4e-03,.52265,4.6e-10,1.2e-10,5.4e-11,65.6
"   33P/Daniel",0.4625,2.166,22.39,66.54,18.90,5.89,8.09,JFc,427,9.2e-09,4.9e-10,,,1000018,P,,15.4,,4.5,,,2.6,,,,,"JPL K244/2",2455610.5,55610,2011-02-18.0,J2000,4.03,114.83,0.1218,2454668.07,2.95e+03,1.19,464,0.152,2.73,6.6e-07,2.4e-07,2.6e-06,1.4e-05,1.0e-04,2.3e-04,6.8e-05,3.6e-07,1.1e-08,6.4e-04,2.7e-04,.89158,8.7e-10,1.4e-11,,
"   34D/Gale",0.7607,1.183,11.73,67.92,209.16,8.70,11,JFc,47,,,,,1000284,D,Y,10.5,,20.0,,,,,,,,SAO/1938,2429080.5,29080,1938-07-01.0,J2000,4.944,1.12,0.08967,2429067.98,4.02e+03,,,,2.29,,,,,,,,,,,,,,,,
"   35P/Herschel-Rigollet",0.9740,0.748,64.21,355.98,29.30,56.94,155,HTC,75,,,,,1000043,P,Y,8.3,,10,,,,,,,,SAO/1939,2429480.5,29480,1939-08-05.0,J2000,28.84,359.97,0.006363,2429484.96,5.66e+04,,,,0.644,,,,,,,,,,,,,,,,
"   36P/Whipple",0.2582,3.089,9.94,182.39,201.96,5.24,8.5,JFc,943,5.3e-09,-5.4e-10,,,1000105,P,,10.5,14.5,13.25,5.,0.03,4.56,,,,,"JPL 24",2454690.5,54690,2008-08-12.0,J2000,4.165,216.49,0.116,2455927.98,3.1e+03,2.1,815,0.26,2.95,8.3e-08,3.9e-08,3.4e-07,1.0e-05,5.0e-05,5.7e-05,1.9e-05,5.0e-08,1.6e-09,1.5e-04,4.4e-05,.64068,9.6e-10,3.3e-11,,
"   37P/Forbes",0.5342,1.611,8.96,314.58,330.01,5.30,6.43,JFc,1699,6.2e-09,-8.2e-11,5.5e-10,-24.7,1000028,P,,10.1,15.4,20.,5.,0.03,1.92,,,,,"JPL K243/21",2458612.5,58612,2019-05-09.0,J2000,3.458,56.70,0.1533,2458242.67,2.35e+03,0.601,234,0.228,2.87,1.0e-07,1.1e-07,4.1e-07,8.9e-06,4.8e-05,5.6e-05,1.3e-05,1.7e-07,7.3e-09,8.8e-05,1.1e-04,.59217,1.7e-10,2.2e-11,6.1e-11,1.21
"   38P/Stephan-Oterma",0.8593,1.589,18.35,78.00,359.59,20.99,37.9,HTC,3265,,-2.7e-11,,,1000089,P,,11.5,13.4,9.5,5.,0.03,,,,,,"JPL 22",2458262.5,58262,2018-05-24.0,J2000,11.29,355.56,0.02599,2458433.49,1.39e+04,0.604,235,1.33,1.89,2.2e-08,2.8e-08,2.5e-07,6.8e-06,1.6e-05,2.7e-05,1.1e-06,5.1e-08,9.6e-11,4.0e-05,5.1e-05,.47939,,2.1e-13,,
"   39P/Oterma",0.2284,5.712,1.48,303.64,89.70,9.09,20.1,CTc,287,,,,,1000177,P,,6.8,13.6,14.75,5.,0.03,,,,,,"JPL 24",2456994.5,56994,2014-12-03.0,J2000,7.403,210.80,0.04893,2460043.78,7.36e+03,4.72,1.84e+03,0.782,3.02,2.8e-07,1.4e-06,3.1e-06,2.0e-05,7.5e-04,7.7e-04,1.3e-04,1.7e-06,1.3e-08,1.9e-03,2.0e-03,.39392,,,,
"   40P/Vaisala 1",0.6316,1.820,11.49,133.84,47.29,8.06,11,JFc,1128,,-1.1e-10,,,1000101,P,,11.7,14.8,13.,5.,0.03,4.2,,,,,"JPL K148/7",2457262.5,57262,2015-08-28.0,J2000,4.94,25.60,0.08977,2456977.34,4.01e+03,0.848,330,0.0865,2.53,8.4e-08,5.2e-08,4.1e-07,5.6e-06,5.2e-05,5.4e-05,5.6e-06,8.4e-08,1.4e-09,5.9e-05,6.3e-05,.84439,,2.5e-13,,
"   41P/Tuttle-Giacobini-Kresak",0.6613,1.045,9.23,141.06,62.17,5.13,5.42,JFc,4300,6.6e-09,-2.1e-10,,,1000100,P,Y,16.9,,4.5,,,1.4,,,,,"JPL K222/6",2457857.5,57857,2017-04-14.0,J2000,3.085,0.23,0.1819,2457856.25,1.98e+03,0.134,52,0.488,2.83,7.1e-07,6.6e-06,5.1e-08,7.3e-06,1.5e-05,2.1e-05,1.9e-06,1.1e-05,5.8e-07,7.1e-06,6.4e-03,.40933,5.8e-11,7.7e-11,,
"   42P/Neujmin 3",0.5842,2.028,3.98,150.28,147.12,7.73,10.8,JFc,297,1.3e-08,-1.0e-09,,77.1,1000065,P,,13.2,16.4,15.,5.,0.03,2.2,,,,,"JPL K155/2",2457380.5,57380,2015-12-24.0,J2000,4.876,23.78,0.09153,2457120.71,3.93e+03,1.01,395,0.025,2.63,6.6e-07,5.4e-07,3.3e-06,2.1e-05,1.6e-04,2.8e-04,6.7e-05,8.5e-07,1.5e-08,7.2e-04,6.5e-04,.73554,4.1e-10,1.7e-10,,7.75
"   43P/Wolf-Harrington",0.5947,1.358,15.97,249.84,191.59,5.34,6.13,JFc,1922,4.2e-09,1.3e-10,,,1000111,P,,10.1,13.9,12.,5.,0.03,3.6,,,,,"JPL K253/7",2457328.5,57328,2015-11-02.0,J2000,3.35,313.11,0.1608,2457620.18,2.24e+03,0.376,146,0.0716,2.79,8.7e-08,1.6e-07,3.3e-07,6.9e-06,3.6e-05,4.4e-05,1.1e-05,2.6e-07,1.2e-08,5.6e-05,1.6e-04,.65798,4.9e-11,3.4e-12,,
"   44P/Reinmuth 2",0.4270,2.114,5.90,286.48,58.12,5.26,7.09,JFc,1496,,,,,1000071,P,,14.0,,5.5,,,3.22,,,,,"JPL K222/3",2458939.5,58939,2020-03-31.0,J2000,3.689,255.16,0.1391,2459693.19,2.59e+03,1.11,433,0.523,2.92,8.2e-08,5.1e-08,3.0e-07,1.3e-05,1.5e-04,1.6e-04,2.6e-05,7.3e-08,2.9e-09,1.8e-04,5.4e-05,.61635,,,,
"   45P/Honda-Mrkos-Pajdusakova",0.8240,0.533,4.25,88.93,326.34,5.52,5.26,JFc,1823,5.4e-09,1.8e-10,,-25.8,1000045,P,Y,13.7,18.0,22.,5.,0.03,1.6,,,,,"JPL K222/7",2457979.5,57979,2017-08-14.0,J2000,3.026,42.26,0.1872,2457753.78,1.92e+03,0.0604,23.5,0.105,2.58,7.2e-08,7.1e-07,2.4e-07,4.5e-06,1.1e-04,1.2e-04,1.6e-05,1.3e-06,6.6e-08,8.8e-06,6.8e-04,.64613,7.6e-10,1.2e-10,,4.86
"   46P/Wirtanen",0.6588,1.055,11.75,82.16,356.34,5.13,5.44,JFc,4224,4.1e-09,-1.2e-09,6.9e-10,-14.1,1000109,P,Y,16.6,,4.75,,,1.2,,,,,"JPL K243/4",2458465.5,58465,2018-12-13.0,J2000,3.093,0.01,0.1812,2458465.43,1.99e+03,0.0713,27.8,0.169,2.82,2.4e-07,2.2e-06,2.9e-08,2.6e-06,4.1e-06,7.7e-06,1.4e-06,3.7e-06,2.0e-07,7.6e-06,2.2e-03,.44968,4.6e-11,3.5e-11,2.6e-11,1.64
"   47P/Ashbrook-Jackson",0.3188,2.802,13.05,356.98,357.84,5.43,8.34,JFc,2768,,,,,1000003,P,,12.0,,7.,,,5.6,,,15.6,,"JPL K257/5",2455673.5,55673,2011-04-22.0,J2000,4.114,95.64,0.1181,2454863.90,3.05e+03,1.8,700,0.0249,2.91,6.1e-08,4.0e-08,2.4e-07,6.7e-06,2.2e-05,2.0e-05,4.8e-06,5.3e-08,1.7e-09,4.8e-05,4.4e-05,.79217,,,,
"   48P/Johnson",0.4290,2.006,12.28,111.46,214.69,5.02,6.59,JFc,1612,-1.6e-09,-5.6e-11,,,1000049,P,,8.9,13.4,17.,5.,0.03,5.74,,,,,"JPL K253/11",2457506.5,57506,2016-04-28.0,J2000,3.514,235.39,0.1496,2458339.22,2.41e+03,1.01,392,0.513,2.93,1.9e-07,1.9e-07,6.8e-07,1.0e-05,3.3e-05,3.6e-05,7.5e-06,2.7e-07,1.2e-08,8.5e-05,1.9e-04,.62404,3.6e-10,1.2e-11,,
"   49P/Arend-Rigaux",0.6004,1.424,19.05,118.87,332.82,5.70,6.73,JFc,3632,,-8.8e-12,,,1000002,P,,14.4,,5.5,,,8.48,,0.028,13.45,,"JPL K254/25",2456180.5,56180,2012-09-10.0,J2000,3.564,47.89,0.1465,2455853.61,2.46e+03,0.463,180,0.158,2.71,4.3e-08,2.4e-08,1.6e-07,4.9e-06,1.8e-05,2.1e-05,4.7e-06,3.9e-08,1.5e-09,3.1e-05,2.5e-05,.58158,,3.6e-13,,
"   50P/Arend",0.5301,1.921,19.16,355.32,49.01,6.25,8.27,JFc,1746,1.4e-09,4.2e-10,,-198,1000001,P,,13.7,15.5,9.5,5.,0.03,1.9,,,,,"JPL K244/12",2455361.5,55361,2010-06-14.0,J2000,4.088,113.91,0.1192,2454406.25,3.02e+03,0.979,381,0.604,2.69,1.5e-07,1.2e-07,6.5e-07,8.8e-06,2.2e-05,5.9e-05,1.8e-05,1.8e-07,5.0e-09,1.2e-04,1.3e-04,.68839,1.9e-10,2.8e-11,,37.1
"   51P/Harrington",0.5420,1.699,5.42,83.72,269.16,5.72,7.15,JFc,99,3.0e-07,-8.7e-08,-2.1e-08,,1000038,P,,18.6,,4.5,,,4.8,,,,,"JPL K222/3",2457925.5,57925,2017-06-21.0,J2000,3.71,93.59,0.1379,2457246.91,2.61e+03,0.703,274,0.371,2.81,4.3e-06,2.0e-06,1.7e-05,1.3e-04,2.2e-03,3.9e-03,5.8e-04,3.0e-06,1.1e-07,3.9e-03,2.1e-03,.85207,1.0e-08,3.7e-09,2.1e-09,
"   51P/Harrington-A",0.5621,1.568,8.65,119.19,233.59,5.59,6.78,JFc,246,2.6e-08,3.1e-09,,,1000363,P,,10.6,15.1,15.,5.,0.03,4.8,,,,,"JPL 8",2451677.5,51677,2000-05-13.0,J2000,3.581,303.46,0.1455,2452066.19,2.47e+03,0.582,226,0.393,2.81,2.5e-06,1.7e-06,8.5e-06,4.4e-05,2.2e-04,1.0e-03,1.8e-04,2.6e-06,1.0e-07,1.4e-03,1.7e-03,.85978,2.0e-09,1.0e-10,,
"   51P/Harrington-D",0.5424,1.697,5.43,83.68,269.23,5.72,7.14,JFc,142,,1.4e-08,,,1003396,P,,18.5,,5.75,,,,,,,,"JPL K222/5",2458624.5,58624,2019-05-21.0,J2000,3.709,190.22,0.138,2459855.21,2.61e+03,0.703,274,0.371,2.81,4.8e-07,1.4e-07,1.8e-06,1.5e-05,3.9e-04,1.0e-03,1.9e-04,2.2e-07,8.0e-09,1.4e-03,1.5e-04,.69325,,1.9e-09,,
"   52P/Harrington-Abell",0.5400,1.775,10.23,336.84,139.66,5.94,7.58,JFc,1164,-4.8e-09,-7.7e-11,,,1000039,P,,11.8,15.5,16.,5.,0.03,2.6,,,,,"JPL K212/21",2457578.5,57578,2016-07-09.0,J2000,3.859,111.11,0.13,2456723.86,2.77e+03,0.804,313,0.0354,2.77,3.4e-07,9.0e-08,1.3e-06,9.8e-06,6.3e-05,9.1e-05,1.8e-05,1.4e-07,4.5e-09,1.3e-04,9.6e-05,.55692,3.6e-10,3.7e-10,,
