"full_name","e","q","i","om","w","ad","per_y","class","n_obs_used","A1","A2","A3","DT","spkid","prefix","neo","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","a","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"     C/2000 D2 (LINEAR)",0.8670,2.298,156.99,235.89,117.68,32.26,71.8,HTC,79,,,,,1000297,C,,13.7,16.5,10.,5.,0.03,,,,,,"JPL 14",2451604.5,51604,2000-03-01.0,J2000,17.28,359.90,0.01372,2451612.11,2.62e+04,1.41,549,0.379,-1.37,2.0e-03,2.7e-01,4.2e-04,2.5e-03,2.8e-03,4.4e-02,4.1e-03,5.0e-01,3.2e-04,1.3e-01,6.1e+02,.49033,,,,
"     C/2000 D3 (SOHO)",1.0000,0.007,139.71,339.90,68.93,,,PAR,12,,,,,1001505,C,,,,,,,,,,,,SAO_2008,2451601.1,51601,2000-02-26.6,J2000,,,,2451601.15,,,,,,,,,,,,,,,,,,,,,
"     C/2000 E1 (SOHO)",1.0000,0.005,144.33,9.73,89.13,,,PAR,40,,,,,1001506,C,,,,,,,,,,,,SAO_2008,2451609.0,51609,2000-03-05.5,J2000,,,,2451609.05,,,,,,,,,,,,,,,,,,,,,
"     C/2000 F1 (SOHO)",1.0000,0.006,144.40,7.52,88.92,,,PAR,14,,,,,1001507,C,,,,,,,,,,,,SAO_2008,2451636.0,51636,2000-04-01.5,J2000,,,,2451636.02,,,,,,,,,,,,,,,,,,,,,
"     C/2000 F2 (SOHO)",1.0000,0.005,139.59,337.53,70.65,,,PAR,5,,,,,1001731,C,,,,,,,,,,,,SAO_2008,2451623.3,51623,2000-03-19.7,J2000,,,,2451623.29,,,,,,,,,,,,,,,,,,,,,
"     C/2000 F3 (SOHO)",1.0000,0.005,135.93,323.69,58.02,,,PAR,5,,,,,1001732,C,,,,,,,,,,,,SAO_2008,2451632.4,51632,2000-03-28.9,J2000,,,,2451632.41,,,,,,,,,,,,,,,,,,,,,
"     C/2000 G2 (LINEAR)",0.8095,2.717,170.48,328.38,101.76,25.81,53.9,HTC,136,,,,,1000302,C,,12.8,15.4,10.,5.,0.03,,,,,,"JPL 12",2451653.5,51653,2000-04-19.0,J2000,14.27,1.33,0.01829,2451580.71,1.97e+04,1.73,673,0.211,-1.55,3.6e-03,2.7e-01,9.6e-04,3.7e-04,1.6e-02,4.3e-02,4.2e-02,4.9e-01,5.2e-04,2.4e-01,5.6e+02,.80194,,,,
"     C/2000 G3 (SOHO)",1.0000,0.007,133.75,327.21,53.65,,,PAR,16,,,,,1001733,C,,,,,,,,,,,,SAO_2008,2451645.5,51645,2000-04-11.0,J2000,,,,2451645.53,,,,,,,,,,,,,,,,,,,,,
"     C/2000 H1 (LINEAR)",1.0021,3.638,118.24,356.44,78.87,,,HYP,112,,,,,1000301,C,,13.5,,4.5,,,,,,,,"JPL 24",2451705.5,51705,2000-06-10.0,J2000,-1757,0.00,1.338e-05,2451572.78,,3.18,1.24e+03,0.89,,2.7e-04,2.3e+02,8.8e-05,2.0e-04,5.2e-04,1.6e-03,3.5e-04,,2.6e-06,1.3e-02,,.65401,,,,
"     C/2000 H2 (SOHO)",1.0000,0.005,144.17,2.94,82.11,,,PAR,59,,,,,1001508,C,,,,,,,,,,,,SAO_2008,2451664.7,51664,2000-04-30.1,J2000,,,,2451664.69,,,,,,,,,,,,,,,,,,,,,
